1583006793000 a295a927-6562-4188-885b-31f86cda126d 23.683888333333336 37.92863833333333  219.7 0 0
1583006795000 1ba36007-2caa-46fc-a6ba-f87b5a20c903 23.649001666666667 37.93375833333334  0 0 0
1583006796000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.55045833333333 37.955088333333336 9 61.5 0 0
1583006802000 a295a927-6562-4188-885b-31f86cda126d 23.683885 37.92863666666666  219.7 0 0
1583006808000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550455 37.95507666666666 9 61.5 0 0
1583006813000 a295a927-6562-4188-885b-31f86cda126d 23.68388333333333 37.92863166666667  219.7 0 0
1583006822000 a295a927-6562-4188-885b-31f86cda126d 23.68388 37.92863  219.7 0 0
1583006833000 a295a927-6562-4188-885b-31f86cda126d 23.68388333333333 37.928625000000004  219.7 0 0
1583006844000 a295a927-6562-4188-885b-31f86cda126d 23.68388666666667 37.928626666666666  219.7 0 0
1583006847000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.55052166666667 37.95516 9 61.5 0 0
1583006853000 a295a927-6562-4188-885b-31f86cda126d 23.68389 37.928628333333336  219.7 0 0
1583006862000 a295a927-6562-4188-885b-31f86cda126d 23.683893333333334 37.92863  219.7 0 0
1583006870000 073583bb-80ca-4982-bc5c-c41830ed5bb2 23.55577 38.03852833333334 158 225.8 0 0
1583006873000 a295a927-6562-4188-885b-31f86cda126d 23.683896666666666 37.92863666666666  219.7 0 0
1583006877000 9c347a25-4861-4c02-bebc-0eb88b5085ea 23.649651666666667 37.93726   0 0
1583006877000 cd2ac510-7359-48cc-9fcf-8f0344901460 23.318508333333334 37.939665 78 80.8 9.1 0
1583006882000 a295a927-6562-4188-885b-31f86cda126d 23.68389833333333 37.92864  219.7 0 0
1583006886000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550496666666668 37.95511833333333 9 61.5 0 0
1583006893000 a295a927-6562-4188-885b-31f86cda126d 23.6839 37.92863833333333  219.7 0 0
1583006902000 a295a927-6562-4188-885b-31f86cda126d 23.683901666666667 37.92863666666666  219.7 0 0
1583006913000 a295a927-6562-4188-885b-31f86cda126d 23.6839 37.928635  219.7 0 0
1583006916000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550478333333334 37.955101666666664 9 61.5 0 0
1583006922000 a295a927-6562-4188-885b-31f86cda126d 23.68389833333333 37.92863666666666  219.7 0 0
1583006928000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550478333333334 37.955103333333334 9 61.5 0.1 0
1583006934000 a295a927-6562-4188-885b-31f86cda126d 23.683896666666666 37.92863666666666  219.7 0 0
1583006937000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.55049 37.955103333333334 9 61.5 0 0
1583006942000 a295a927-6562-4188-885b-31f86cda126d 23.683896666666666 37.928635  219.7 0 0
1583006947000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.55049 37.9551 9 61.5 0 0
1583006953000 a295a927-6562-4188-885b-31f86cda126d 23.683893333333334 37.92863  219.7 0 0
1583006962000 a295a927-6562-4188-885b-31f86cda126d 23.683891666666668 37.928628333333336  219.7 0 0
1583006967000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.5505 37.955106666666666 9 61.5 0 0
1583006968000 cd2ac510-7359-48cc-9fcf-8f0344901460 23.323325 37.94027666666667 77 80.1 9 0
1583006973000 a295a927-6562-4188-885b-31f86cda126d 23.68389 37.92863166666667  219.7 0 0
1583006975000 1ba36007-2caa-46fc-a6ba-f87b5a20c903 23.648998333333335 37.93375666666667  0 0 0
1583006984000 a295a927-6562-4188-885b-31f86cda126d 23.68389 37.92863166666667  219.7 0 0
1583006994000 a295a927-6562-4188-885b-31f86cda126d 23.68389 37.92863  219.7 0 0
1583006997000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.55050333333333 37.95509666666667 9 61.5 0 0
1583007002000 a295a927-6562-4188-885b-31f86cda126d 23.683885 37.92863  219.7 0 0
1583007007000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550498333333334 37.955088333333336 9 61.5 0 0
1583007013000 a295a927-6562-4188-885b-31f86cda126d 23.683881666666665 37.928625000000004  219.7 0 0
1583007022000 a295a927-6562-4188-885b-31f86cda126d 23.683878333333332 37.928625000000004  219.7 0 0
1583007032000 03b0e209-d007-45f3-afc9-178ed35160b8 23.564278333333334 37.96131833333333 6 191 0.1 0
1583007033000 a295a927-6562-4188-885b-31f86cda126d 23.683885 37.92863166666667  219.7 0 0
1583007037000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.5505 37.9551 9 61.5 0 0
1583007048000 cd2ac510-7359-48cc-9fcf-8f0344901460 23.327553333333334 37.940826666666666 76 80.3 9.1 0
1583007056000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.55049 37.95507 9 61.5 0 0
1583007062000 a295a927-6562-4188-885b-31f86cda126d 23.683915000000002 37.928655000000006  219.7 0 0
1583007067000 41dc89c8-4d7e-4d18-8e98-9cb5b6a3efd8 23.56419 37.960315 183 91.9 0 0
1583007067000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550498333333334 37.955088333333336 9 61.5 0 0
1583007073000 a295a927-6562-4188-885b-31f86cda126d 23.683915000000002 37.928655000000006  219.7 0 0
1583007087000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.55050333333333 37.95508333333333 9 61.5 0 0
1583007093000 a295a927-6562-4188-885b-31f86cda126d 23.683913333333333 37.92864333333333  219.7 0 0
1583007104000 a295a927-6562-4188-885b-31f86cda126d 23.68390833333333 37.92863666666666  219.7 0 0
1583007106000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550508333333333 37.95507666666666 9 61.5 0 0
1583007116000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550501666666666 37.955061666666666 9 61.5 0 0
