1583046914000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60915 37.957679999999996  115.5 0 0
1583046945000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609143333333336 37.957675  115.5 0 0
1583047005000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609154999999998 37.95769166666666  115.5 0 0
1583047094000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60916166666667 37.95768666666667  115.5 0 0
1583047104000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609158333333333 37.95768666666667  115.5 0 0
1583047194000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609154999999998 37.95769166666666  115.5 0 0
1583047204000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609154999999998 37.95768666666667  115.5 0 0
1583047214000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609154999999998 37.957679999999996  115.5 0 0
1583047285000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609143333333336 37.95770166666667  115.5 0 0
1583047314000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609154999999998 37.95769833333333  115.5 0 0
1583047324000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609158333333333 37.957694999999994  115.5 0 0
1583047394000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609156666666667 37.95769166666666  115.5 0 0
1583047514000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60916 37.957703333333335  115.5 0 0
1583047525000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609156666666667 37.95771333333333  115.5 0 0
1583047654000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609143333333336 37.95769833333333  115.5 0 0
1583047684000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609151666666666 37.95769833333333  115.5 0.1 0
1583047744000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60915 37.95769666666667  115.5 0 0
1583047804000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60913 37.95769  115.5 0.1 0
1583047845000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609135 37.95769166666666  115.5 0 0
1583047854000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609136666666664 37.95769166666666  115.5 0 0
1583047944000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609154999999998 37.95769166666666  115.5 0 0
1583047984000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609151666666666 37.957694999999994  115.5 0 0
1583048044000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60915333333333 37.95768666666667  115.5 0 0
1583048064000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60915333333333 37.957681666666666  115.5 0.1 0
1583048085000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60915333333333 37.95768333333333  115.5 0 0
1583048114000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60915333333333 37.957681666666666  115.5 0 0
1583048145000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60915333333333 37.957679999999996  115.5 0 0
1583048154000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60915 37.957679999999996  115.5 0 0
1583048164000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609151666666666 37.95767333333333  115.5 0 0
1583048174000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609151666666666 37.957663333333336  115.5 0 0
1583048224000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609175 37.95769166666666  115.5 0 0
1583048265000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609168333333333 37.95769333333333  115.5 0 0
1583048274000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609168333333333 37.957694999999994  115.5 0 0
1583048334000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609165 37.95769333333333  115.5 0.1 0
1583048385000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60916166666667 37.95768333333333  115.5 0 0
1583048464000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609168333333333 37.957679999999996  115.5 0 0
1583048524000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609163333333335 37.957679999999996  115.5 0.1 0
1583048554000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609151666666666 37.957679999999996  115.5 0 0
